ActivityHour,TotalIntensity,AverageIntensity
11/26/2021 12:00:00 AM,0,0
11/26/2021 1:00:00 AM,0,0
11/26/2021 2:00:00 AM,0,0
11/26/2021 3:00:00 AM,0,0
11/26/2021 4:00:00 AM,0,0
11/26/2021 5:00:00 AM,0,0
11/26/2021 6:00:00 AM,0,0
11/26/2021 7:00:00 AM,0,0
11/26/2021 8:00:00 AM,4,0.066667
11/26/2021 9:00:00 AM,0,0
11/26/2021 10:00:00 AM,0,0
11/26/2021 11:00:00 AM,71,1.183333
11/26/2021 12:00:00 PM,15,0.25
11/26/2021 1:00:00 PM,58,0.966667
11/26/2021 2:00:00 PM,46,0.766667
11/26/2021 3:00:00 PM,51,0.85
11/26/2021 4:00:00 PM,26,0.433333
11/26/2021 5:00:00 PM,30,0.5
11/26/2021 6:00:00 PM,29,0.483333
11/26/2021 7:00:00 PM,62,1.033333
11/26/2021 8:00:00 PM,30,0.5
11/26/2021 9:00:00 PM,20,0.333333
11/26/2021 10:00:00 PM,73,1.216667
11/26/2021 11:00:00 PM,3,0.05
11/27/2021 12:00:00 AM,27,0.45
11/27/2021 1:00:00 AM,18,0.3
11/27/2021 2:00:00 AM,0,0
11/27/2021 3:00:00 AM,0,0
11/27/2021 4:00:00 AM,0,0
11/27/2021 5:00:00 AM,0,0
11/27/2021 6:00:00 AM,0,0
11/27/2021 7:00:00 AM,0,0
11/27/2021 8:00:00 AM,0,0
11/27/2021 9:00:00 AM,0,0
11/27/2021 10:00:00 AM,1,0.016667
11/27/2021 11:00:00 AM,0,0
11/27/2021 12:00:00 PM,0,0
11/27/2021 1:00:00 PM,7,0.116667
11/27/2021 2:00:00 PM,59,0.983333
11/27/2021 3:00:00 PM,26,0.433333
11/27/2021 4:00:00 PM,22,0.366667
11/27/2021 5:00:00 PM,21,0.35
11/27/2021 6:00:00 PM,49,0.816667
11/27/2021 7:00:00 PM,13,0.216667
11/27/2021 8:00:00 PM,11,0.183333
11/27/2021 9:00:00 PM,12,0.2
11/27/2021 10:00:00 PM,41,0.683333
11/27/2021 11:00:00 PM,67,1.116667
11/28/2021 12:00:00 AM,86,1.433333
11/28/2021 1:00:00 AM,2,0.033333
11/28/2021 2:00:00 AM,0,0
11/28/2021 3:00:00 AM,0,0
11/28/2021 4:00:00 AM,0,0
11/28/2021 5:00:00 AM,0,0
11/28/2021 6:00:00 AM,0,0
11/28/2021 7:00:00 AM,0,0
11/28/2021 8:00:00 AM,56,0.933333
11/28/2021 9:00:00 AM,24,0.4
11/28/2021 10:00:00 AM,25,0.416667
11/28/2021 11:00:00 AM,8,0.133333
11/28/2021 12:00:00 PM,25,0.416667
11/28/2021 1:00:00 PM,42,0.7
11/28/2021 2:00:00 PM,6,0.1
11/28/2021 3:00:00 PM,13,0.216667
11/28/2021 4:00:00 PM,59,0.983333
11/28/2021 5:00:00 PM,6,0.1
11/28/2021 6:00:00 PM,20,0.333333
11/28/2021 7:00:00 PM,39,0.65
11/28/2021 8:00:00 PM,25,0.416667
11/28/2021 9:00:00 PM,21,0.35
11/28/2021 10:00:00 PM,0,0
11/28/2021 11:00:00 PM,0,0
11/29/2021 12:00:00 AM,0,0
11/29/2021 1:00:00 AM,0,0
11/29/2021 2:00:00 AM,0,0
11/29/2021 3:00:00 AM,0,0
11/29/2021 4:00:00 AM,0,0
11/29/2021 5:00:00 AM,0,0
11/29/2021 6:00:00 AM,0,0
11/29/2021 7:00:00 AM,0,0
11/29/2021 8:00:00 AM,0,0
11/29/2021 9:00:00 AM,0,0
11/29/2021 10:00:00 AM,0,0
11/29/2021 11:00:00 AM,0,0
11/29/2021 12:00:00 PM,0,0
