ActivityDay,StepTotal
2/24/2022,777
2/25/2022,1372
2/26/2022,6665
2/27/2022,3278
2/28/2022,6546
3/1/2022,7166
3/2/2022,12744
3/3/2022,4666
3/4/2022,8769
3/5/2022,8108
3/6/2022,3150
3/7/2022,13842
3/8/2022,5792
3/9/2022,9920
3/10/2022,7696
3/11/2022,15
3/12/2022,9779
3/13/2022,4321
3/14/2022,6432
3/15/2022,7111
3/16/2022,10446
3/17/2022,7349
3/18/2022,9602
3/19/2022,1540
3/20/2022,1279
3/21/2022,6091
3/22/2022,9082
3/23/2022,2763
3/24/2022,8874
3/25/2022,10274
3/26/2022,2787
3/27/2022,2396
3/28/2022,7060
3/29/2022,7787
3/30/2022,6634
3/31/2022,6576
4/1/2022,6298
4/2/2022,11944
4/3/2022,2855
4/4/2022,4904
4/5/2022,6198
4/6/2022,4801
4/7/2022,8621
4/8/2022,6378
4/9/2022,6916
4/10/2022,4750
4/11/2022,4137
4/12/2022,16066
4/13/2022,5243
4/14/2022,4928
4/15/2022,3526
4/16/2022,8062
4/17/2022,2636
4/18/2022,3726
4/19/2022,10581
4/20/2022,7718
4/21/2022,15155
4/22/2022,11044
4/23/2022,8747
4/24/2022,2611
4/25/2022,9015
4/26/2022,6361
4/27/2022,8583
4/28/2022,8919
4/29/2022,5238
4/30/2022,14351
5/1/2022,4344
5/2/2022,6871
5/3/2022,7149
5/4/2022,2374
5/5/2022,4743
5/6/2022,8141
5/7/2022,9373
5/8/2022,2777
5/9/2022,10970
5/10/2022,11237
5/11/2022,10576
5/12/2022,10472
5/13/2022,6275
5/14/2022,10398
5/15/2022,6828
5/16/2022,11275
5/17/2022,10553
5/18/2022,11082
5/19/2022,12043
5/20/2022,14302
5/21/2022,13335
5/22/2022,10933
5/23/2022,11476
5/24/2022,10250
5/25/2022,11515
5/26/2022,6469
5/27/2022,10064
5/28/2022,942
5/29/2022,9626
5/30/2022,5743
5/31/2022,8842
6/1/2022,8410
6/2/2022,10703
6/3/2022,14036
6/4/2022,80
6/5/2022,0
6/6/2022,0
6/7/2022,0
6/8/2022,0
6/9/2022,0
6/10/2022,7377
6/11/2022,1695
6/12/2022,4532
6/13/2022,5998
6/14/2022,13631
6/15/2022,7789
6/16/2022,4485
6/17/2022,2292
6/18/2022,10394
6/19/2022,1708
6/20/2022,10433
6/21/2022,3463
6/22/2022,9490
6/23/2022,7794
6/24/2022,11144
6/25/2022,10151
6/26/2022,5816
6/27/2022,8272
6/28/2022,7932
6/29/2022,6055
6/30/2022,8215
7/1/2022,9110
7/2/2022,9440
7/3/2022,4405
7/4/2022,6173
7/5/2022,6479
7/6/2022,10436
7/7/2022,9055
7/8/2022,3816
7/9/2022,12415
7/10/2022,0
7/11/2022,14838
7/12/2022,6991
7/13/2022,12218
7/14/2022,6109
7/15/2022,11437
7/16/2022,7031
7/17/2022,7218
7/18/2022,9129
7/19/2022,94
7/20/2022,0
