ActivityHour,Calories
8/20/2022 12:00:00 AM,65
8/20/2022 1:00:00 AM,65
8/20/2022 2:00:00 AM,65
8/20/2022 3:00:00 AM,65
8/20/2022 4:00:00 AM,65
8/20/2022 5:00:00 AM,65
8/20/2022 6:00:00 AM,65
8/20/2022 7:00:00 AM,65
8/20/2022 8:00:00 AM,65
8/20/2022 9:00:00 AM,65
8/20/2022 10:00:00 AM,65
8/20/2022 11:00:00 AM,65
8/20/2022 12:00:00 PM,65
8/20/2022 1:00:00 PM,65
8/20/2022 2:00:00 PM,65
8/20/2022 3:00:00 PM,65
8/20/2022 4:00:00 PM,65
8/20/2022 5:00:00 PM,65
8/20/2022 6:00:00 PM,85
8/20/2022 7:00:00 PM,211
8/20/2022 8:00:00 PM,221
8/20/2022 9:00:00 PM,220
8/20/2022 10:00:00 PM,160
8/20/2022 11:00:00 PM,79
8/21/2022 12:00:00 AM,109
8/21/2022 1:00:00 AM,68
8/21/2022 2:00:00 AM,66
8/21/2022 3:00:00 AM,67
8/21/2022 4:00:00 AM,65
8/21/2022 5:00:00 AM,70
8/21/2022 6:00:00 AM,69
8/21/2022 7:00:00 AM,65
8/21/2022 8:00:00 AM,65
8/21/2022 9:00:00 AM,67
8/21/2022 10:00:00 AM,69
8/21/2022 11:00:00 AM,185
8/21/2022 12:00:00 PM,76
8/21/2022 1:00:00 PM,107
8/21/2022 2:00:00 PM,88
8/21/2022 3:00:00 PM,91
8/21/2022 4:00:00 PM,123
8/21/2022 5:00:00 PM,154
8/21/2022 6:00:00 PM,217
8/21/2022 7:00:00 PM,224
8/21/2022 8:00:00 PM,172
8/21/2022 9:00:00 PM,192
8/21/2022 10:00:00 PM,272
8/21/2022 11:00:00 PM,222
8/22/2022 12:00:00 AM,108
8/22/2022 1:00:00 AM,96
8/22/2022 2:00:00 AM,65
8/22/2022 3:00:00 AM,68
8/22/2022 4:00:00 AM,66
8/22/2022 5:00:00 AM,67
8/22/2022 6:00:00 AM,65
8/22/2022 7:00:00 AM,69
8/22/2022 8:00:00 AM,66
8/22/2022 9:00:00 AM,65
8/22/2022 10:00:00 AM,82
8/22/2022 11:00:00 AM,152
8/22/2022 12:00:00 PM,83
8/22/2022 1:00:00 PM,73
8/22/2022 2:00:00 PM,177
8/22/2022 3:00:00 PM,97
8/22/2022 4:00:00 PM,110
8/22/2022 5:00:00 PM,349
8/22/2022 6:00:00 PM,98
8/22/2022 7:00:00 PM,295
8/22/2022 8:00:00 PM,247
8/22/2022 9:00:00 PM,326
8/22/2022 10:00:00 PM,274
8/22/2022 11:00:00 PM,112
8/23/2022 12:00:00 AM,68
8/23/2022 1:00:00 AM,68
8/23/2022 2:00:00 AM,70
8/23/2022 3:00:00 AM,66
8/23/2022 4:00:00 AM,72
8/23/2022 5:00:00 AM,65
8/23/2022 6:00:00 AM,69
8/23/2022 7:00:00 AM,70
8/23/2022 8:00:00 AM,69
8/23/2022 9:00:00 AM,65
8/23/2022 10:00:00 AM,65
8/23/2022 11:00:00 AM,65
8/23/2022 12:00:00 PM,155
8/23/2022 1:00:00 PM,79
8/23/2022 2:00:00 PM,135
8/23/2022 3:00:00 PM,142
8/23/2022 4:00:00 PM,262
8/23/2022 5:00:00 PM,328
8/23/2022 6:00:00 PM,141
8/23/2022 7:00:00 PM,236
8/23/2022 8:00:00 PM,172
8/23/2022 9:00:00 PM,146
8/23/2022 10:00:00 PM,145
8/23/2022 11:00:00 PM,99
8/24/2022 12:00:00 AM,85
8/24/2022 1:00:00 AM,75
8/24/2022 2:00:00 AM,67
8/24/2022 3:00:00 AM,76
8/24/2022 4:00:00 AM,65
8/24/2022 5:00:00 AM,66
8/24/2022 6:00:00 AM,71
8/24/2022 7:00:00 AM,65
8/24/2022 8:00:00 AM,65
8/24/2022 9:00:00 AM,67
8/24/2022 10:00:00 AM,70
8/24/2022 11:00:00 AM,130
8/24/2022 12:00:00 PM,172
8/24/2022 1:00:00 PM,127
8/24/2022 2:00:00 PM,144
8/24/2022 3:00:00 PM,186
8/24/2022 4:00:00 PM,145
8/24/2022 5:00:00 PM,191
8/24/2022 6:00:00 PM,171
8/24/2022 7:00:00 PM,133
8/24/2022 8:00:00 PM,88
8/24/2022 9:00:00 PM,121
8/24/2022 10:00:00 PM,107
8/24/2022 11:00:00 PM,117
8/25/2022 12:00:00 AM,88
8/25/2022 1:00:00 AM,80
8/25/2022 2:00:00 AM,75
8/25/2022 3:00:00 AM,71
8/25/2022 4:00:00 AM,65
8/25/2022 5:00:00 AM,72
8/25/2022 6:00:00 AM,67
8/25/2022 7:00:00 AM,66
8/25/2022 8:00:00 AM,66
8/25/2022 9:00:00 AM,67
8/25/2022 10:00:00 AM,123
8/25/2022 11:00:00 AM,114
8/25/2022 12:00:00 PM,158
8/25/2022 1:00:00 PM,154
8/25/2022 2:00:00 PM,124
8/25/2022 3:00:00 PM,155
8/25/2022 4:00:00 PM,104
8/25/2022 5:00:00 PM,313
8/25/2022 6:00:00 PM,174
8/25/2022 7:00:00 PM,199
8/25/2022 8:00:00 PM,157
8/25/2022 9:00:00 PM,114
8/25/2022 10:00:00 PM,95
8/25/2022 11:00:00 PM,101
8/26/2022 12:00:00 AM,82
8/26/2022 1:00:00 AM,76
8/26/2022 2:00:00 AM,76
8/26/2022 3:00:00 AM,67
8/26/2022 4:00:00 AM,65
8/26/2022 5:00:00 AM,66
8/26/2022 6:00:00 AM,65
8/26/2022 7:00:00 AM,71
8/26/2022 8:00:00 AM,65
8/26/2022 9:00:00 AM,65
8/26/2022 10:00:00 AM,84
8/26/2022 11:00:00 AM,90
8/26/2022 12:00:00 PM,87
8/26/2022 1:00:00 PM,94
8/26/2022 2:00:00 PM,197
8/26/2022 3:00:00 PM,81
8/26/2022 4:00:00 PM,102
8/26/2022 5:00:00 PM,202
8/26/2022 6:00:00 PM,327
8/26/2022 7:00:00 PM,260
8/26/2022 8:00:00 PM,110
8/26/2022 9:00:00 PM,128
8/26/2022 10:00:00 PM,102
8/26/2022 11:00:00 PM,217
8/27/2022 12:00:00 AM,74
8/27/2022 1:00:00 AM,105
8/27/2022 2:00:00 AM,74
8/27/2022 3:00:00 AM,67
8/27/2022 4:00:00 AM,67
8/27/2022 5:00:00 AM,67
8/27/2022 6:00:00 AM,65
8/27/2022 7:00:00 AM,65
8/27/2022 8:00:00 AM,65
8/27/2022 9:00:00 AM,90
8/27/2022 10:00:00 AM,104
8/27/2022 11:00:00 AM,95
8/27/2022 12:00:00 PM,83
8/27/2022 1:00:00 PM,81
8/27/2022 2:00:00 PM,155
8/27/2022 3:00:00 PM,100
8/27/2022 4:00:00 PM,275
8/27/2022 5:00:00 PM,102
8/27/2022 6:00:00 PM,65
8/27/2022 7:00:00 PM,80
8/27/2022 8:00:00 PM,89
8/27/2022 9:00:00 PM,67
8/27/2022 10:00:00 PM,65
8/27/2022 11:00:00 PM,65
8/28/2022 12:00:00 AM,65
8/28/2022 1:00:00 AM,65
8/28/2022 2:00:00 AM,65
8/28/2022 3:00:00 AM,65
8/28/2022 4:00:00 AM,65
8/28/2022 5:00:00 AM,65
8/28/2022 6:00:00 AM,65
8/28/2022 7:00:00 AM,65
8/28/2022 8:00:00 AM,65
8/28/2022 9:00:00 AM,65
8/28/2022 10:00:00 AM,65
8/28/2022 11:00:00 AM,65
8/28/2022 12:00:00 PM,65
8/28/2022 1:00:00 PM,65
8/28/2022 2:00:00 PM,87
8/28/2022 3:00:00 PM,126
8/28/2022 4:00:00 PM,65
8/28/2022 5:00:00 PM,65
8/28/2022 6:00:00 PM,65
8/28/2022 7:00:00 PM,65
8/28/2022 8:00:00 PM,65
8/28/2022 9:00:00 PM,65
8/28/2022 10:00:00 PM,65
8/28/2022 11:00:00 PM,65
8/29/2022 12:00:00 AM,65
8/29/2022 1:00:00 AM,65
8/29/2022 2:00:00 AM,65
8/29/2022 3:00:00 AM,65
8/29/2022 4:00:00 AM,65
8/29/2022 5:00:00 AM,65
8/29/2022 6:00:00 AM,65
8/29/2022 7:00:00 AM,65
8/29/2022 8:00:00 AM,65
8/29/2022 9:00:00 AM,65
8/29/2022 10:00:00 AM,65
8/29/2022 11:00:00 AM,65
8/29/2022 12:00:00 PM,65
8/29/2022 1:00:00 PM,65
8/29/2022 2:00:00 PM,65
8/29/2022 3:00:00 PM,65
8/29/2022 4:00:00 PM,65
8/29/2022 5:00:00 PM,65
8/29/2022 6:00:00 PM,65
8/29/2022 7:00:00 PM,65
8/29/2022 8:00:00 PM,65
8/29/2022 9:00:00 PM,65
8/29/2022 10:00:00 PM,65
8/29/2022 11:00:00 PM,65
8/30/2022 12:00:00 AM,65
8/30/2022 1:00:00 AM,65
8/30/2022 2:00:00 AM,65
8/30/2022 3:00:00 AM,65
8/30/2022 4:00:00 AM,65
