ActivityHour,StepTotal
8/20/2022 12:00:00 AM,0
8/20/2022 1:00:00 AM,0
8/20/2022 2:00:00 AM,0
8/20/2022 3:00:00 AM,0
8/20/2022 4:00:00 AM,0
8/20/2022 5:00:00 AM,0
8/20/2022 6:00:00 AM,0
8/20/2022 7:00:00 AM,0
8/20/2022 8:00:00 AM,0
8/20/2022 9:00:00 AM,0
8/20/2022 10:00:00 AM,0
8/20/2022 11:00:00 AM,0
8/20/2022 12:00:00 PM,0
8/20/2022 1:00:00 PM,0
8/20/2022 2:00:00 PM,0
8/20/2022 3:00:00 PM,0
8/20/2022 4:00:00 PM,0
8/20/2022 5:00:00 PM,0
8/20/2022 6:00:00 PM,185
8/20/2022 7:00:00 PM,2244
8/20/2022 8:00:00 PM,2598
8/20/2022 9:00:00 PM,2399
8/20/2022 10:00:00 PM,1421
8/20/2022 11:00:00 PM,35
8/21/2022 12:00:00 AM,287
8/21/2022 1:00:00 AM,12
8/21/2022 2:00:00 AM,0
8/21/2022 3:00:00 AM,4
8/21/2022 4:00:00 AM,0
8/21/2022 5:00:00 AM,34
8/21/2022 6:00:00 AM,21
8/21/2022 7:00:00 AM,0
8/21/2022 8:00:00 AM,0
8/21/2022 9:00:00 AM,8
8/21/2022 10:00:00 AM,20
8/21/2022 11:00:00 AM,1230
8/21/2022 12:00:00 PM,11
8/21/2022 1:00:00 PM,499
8/21/2022 2:00:00 PM,134
8/21/2022 3:00:00 PM,194
8/21/2022 4:00:00 PM,585
8/21/2022 5:00:00 PM,786
8/21/2022 6:00:00 PM,2685
8/21/2022 7:00:00 PM,2093
8/21/2022 8:00:00 PM,1626
8/21/2022 9:00:00 PM,404
8/21/2022 10:00:00 PM,57
8/21/2022 11:00:00 PM,645
8/22/2022 12:00:00 AM,77
8/22/2022 1:00:00 AM,31
8/22/2022 2:00:00 AM,0
8/22/2022 3:00:00 AM,14
8/22/2022 4:00:00 AM,9
8/22/2022 5:00:00 AM,8
8/22/2022 6:00:00 AM,0
8/22/2022 7:00:00 AM,15
8/22/2022 8:00:00 AM,0
8/22/2022 9:00:00 AM,0
8/22/2022 10:00:00 AM,123
