DateTime,SyncDateUTC,Provider,DeviceName
1/20/2023 11:05:50 AM,1/20/2023 11:05:50 AM,Fitbit,Alta HR
1/20/2023 11:21:08 AM,1/20/2023 11:21:08 AM,Fitbit,Alta HR
1/20/2023 2:47:45 PM,1/20/2023 2:47:45 PM,Fitbit,Alta HR
1/20/2023 8:01:38 PM,1/20/2023 8:01:38 PM,Fitbit,Alta HR
1/21/2023 4:07:46 PM,1/21/2023 4:07:46 PM,Fitbit,Alta HR
1/21/2023 4:12:27 PM,1/21/2023 4:12:27 PM,Fitbit,Alta HR
1/21/2023 4:13:32 PM,1/21/2023 4:13:32 PM,Fitbit,Alta HR
1/21/2023 4:32:06 PM,1/21/2023 4:32:06 PM,Fitbit,Alta HR
1/21/2023 4:47:37 PM,1/21/2023 4:47:37 PM,Fitbit,Alta HR
1/21/2023 5:02:55 PM,1/21/2023 5:02:55 PM,Fitbit,Alta HR
1/21/2023 5:18:15 PM,1/21/2023 5:18:15 PM,Fitbit,Alta HR
1/21/2023 5:37:03 PM,1/21/2023 5:37:03 PM,Fitbit,Alta HR
1/21/2023 5:52:27 PM,1/21/2023 5:52:27 PM,Fitbit,Alta HR
1/21/2023 7:28:16 PM,1/21/2023 7:28:16 PM,Fitbit,Alta HR
1/22/2023 11:11:02 PM,1/22/2023 11:11:02 PM,Fitbit,Alta HR
1/22/2023 11:19:19 PM,1/22/2023 11:19:19 PM,Fitbit,Alta HR
1/23/2023 12:11:42 AM,1/23/2023 12:11:42 AM,Fitbit,Alta HR
1/24/2023 10:28:04 PM,1/24/2023 10:28:04 PM,Fitbit,Alta HR
1/24/2023 10:33:03 PM,1/24/2023 10:33:03 PM,Fitbit,Alta HR
1/25/2023 7:02:17 PM,1/25/2023 7:02:17 PM,Fitbit,Alta HR
1/25/2023 7:21:43 PM,1/25/2023 7:21:43 PM,Fitbit,Alta HR
1/27/2023 10:23:30 PM,1/27/2023 10:23:30 PM,Fitbit,Alta HR
1/27/2023 10:31:38 PM,1/27/2023 10:31:38 PM,Fitbit,Alta HR
1/27/2023 10:32:19 PM,1/27/2023 10:32:19 PM,Fitbit,Alta HR
1/27/2023 10:46:37 PM,1/27/2023 10:46:37 PM,Fitbit,Alta HR
1/28/2023 12:39:40 PM,1/28/2023 12:39:40 PM,Fitbit,Alta HR
1/30/2023 2:54:19 PM,1/30/2023 2:54:19 PM,Fitbit,Alta HR
1/30/2023 3:09:59 PM,1/30/2023 3:09:59 PM,Fitbit,Alta HR
1/30/2023 3:26:28 PM,1/30/2023 3:26:28 PM,Fitbit,Alta HR
1/30/2023 3:41:58 PM,1/30/2023 3:41:58 PM,Fitbit,Alta HR
1/30/2023 4:01:33 PM,1/30/2023 4:01:33 PM,Fitbit,Alta HR
1/30/2023 4:14:49 PM,1/30/2023 4:14:49 PM,Fitbit,Alta HR
2/1/2023 6:29:18 PM,2/1/2023 6:29:18 PM,Fitbit,Alta HR
2/3/2023 11:22:57 PM,2/3/2023 11:22:57 PM,Fitbit,Alta HR
2/3/2023 11:31:02 PM,2/3/2023 11:31:02 PM,Fitbit,Alta HR
2/3/2023 11:39:23 PM,2/3/2023 11:39:23 PM,Fitbit,Alta HR
2/3/2023 11:54:58 PM,2/3/2023 11:54:58 PM,Fitbit,Alta HR
2/4/2023 12:18:02 AM,2/4/2023 12:18:02 AM,Fitbit,Alta HR
2/4/2023 12:21:06 AM,2/4/2023 12:21:06 AM,Fitbit,Alta HR
2/5/2023 12:46:44 AM,2/5/2023 12:46:44 AM,Fitbit,Alta HR
2/5/2023 12:56:58 AM,2/5/2023 12:56:58 AM,Fitbit,Alta HR
2/5/2023 1:12:17 AM,2/5/2023 1:12:17 AM,Fitbit,Alta HR
2/10/2023 1:20:26 PM,2/10/2023 1:20:26 PM,Fitbit,Alta HR
2/10/2023 1:28:01 PM,2/10/2023 1:28:01 PM,Fitbit,Alta HR
2/10/2023 1:39:28 PM,2/10/2023 1:39:28 PM,Fitbit,Alta HR
2/14/2023 12:22:04 PM,2/14/2023 12:22:04 PM,Fitbit,Alta HR
2/15/2023 10:45:48 AM,2/15/2023 10:45:48 AM,Fitbit,Alta HR
2/16/2023 7:57:29 PM,2/16/2023 7:57:29 PM,Fitbit,Alta HR
2/16/2023 8:23:04 PM,2/16/2023 8:23:04 PM,Fitbit,Alta HR
2/16/2023 8:38:37 PM,2/16/2023 8:38:37 PM,Fitbit,Alta HR
2/16/2023 9:22:58 PM,2/16/2023 9:22:58 PM,Fitbit,Alta HR
2/19/2023 8:15:17 PM,2/19/2023 8:15:17 PM,Fitbit,Alta HR
2/19/2023 8:16:57 PM,2/19/2023 8:16:57 PM,Fitbit,Alta HR
2/19/2023 8:37:23 PM,2/19/2023 8:37:23 PM,Fitbit,Alta HR
2/21/2023 12:42:37 AM,2/21/2023 12:42:37 AM,Fitbit,Alta HR
2/21/2023 12:42:53 AM,2/21/2023 12:42:53 AM,Fitbit,Alta HR
2/21/2023 7:52:41 AM,2/21/2023 7:52:41 AM,Fitbit,Alta HR
2/21/2023 8:20:15 AM,2/21/2023 8:20:15 AM,Fitbit,Alta HR
2/23/2023 12:53:32 AM,2/23/2023 12:53:32 AM,Fitbit,Alta HR
2/23/2023 7:07:25 PM,2/23/2023 7:07:25 PM,Fitbit,Alta HR
2/24/2023 1:36:20 AM,2/24/2023 1:36:20 AM,Fitbit,Alta HR
2/24/2023 1:51:38 AM,2/24/2023 1:51:38 AM,Fitbit,Alta HR
2/24/2023 2:00:20 AM,2/24/2023 2:00:20 AM,Fitbit,Alta HR
2/24/2023 2:31:49 AM,2/24/2023 2:31:49 AM,Fitbit,Alta HR
2/24/2023 3:00:11 AM,2/24/2023 3:00:11 AM,Fitbit,Alta HR
2/25/2023 8:33:20 PM,2/25/2023 8:33:20 PM,Fitbit,Alta HR
2/27/2023 12:30:37 AM,2/27/2023 12:30:37 AM,Fitbit,Alta HR
2/27/2023 12:59:44 AM,2/27/2023 12:59:44 AM,Fitbit,Alta HR
2/27/2023 1:20:53 AM,2/27/2023 1:20:53 AM,Fitbit,Alta HR
2/27/2023 1:40:21 AM,2/27/2023 1:40:21 AM,Fitbit,Alta HR
2/27/2023 1:58:35 AM,2/27/2023 1:58:35 AM,Fitbit,Alta HR
2/27/2023 7:30:51 PM,2/27/2023 7:30:51 PM,Fitbit,Alta HR
2/27/2023 7:46:08 PM,2/27/2023 7:46:08 PM,Fitbit,Alta HR
2/27/2023 7:59:19 PM,2/27/2023 7:59:19 PM,Fitbit,Alta HR
2/27/2023 8:14:34 PM,2/27/2023 8:14:34 PM,Fitbit,Alta HR
2/27/2023 8:43:12 PM,2/27/2023 8:43:12 PM,Fitbit,Alta HR
2/27/2023 8:58:35 PM,2/27/2023 8:58:35 PM,Fitbit,Alta HR
2/27/2023 9:27:34 PM,2/27/2023 9:27:34 PM,Fitbit,Alta HR
2/27/2023 9:42:49 PM,2/27/2023 9:42:49 PM,Fitbit,Alta HR
2/27/2023 10:33:29 PM,2/27/2023 10:33:29 PM,Fitbit,Alta HR
2/27/2023 10:55:50 PM,2/27/2023 10:55:50 PM,Fitbit,Alta HR
2/27/2023 11:10:36 PM,2/27/2023 11:10:36 PM,Fitbit,Alta HR
2/27/2023 11:25:51 PM,2/27/2023 11:25:51 PM,Fitbit,Alta HR
2/27/2023 11:39:36 PM,2/27/2023 11:39:36 PM,Fitbit,Alta HR
2/27/2023 11:54:50 PM,2/27/2023 11:54:50 PM,Fitbit,Alta HR
2/28/2023 12:02:34 AM,2/28/2023 12:02:34 AM,Fitbit,Alta HR
2/28/2023 12:22:52 AM,2/28/2023 12:22:52 AM,Fitbit,Alta HR
3/1/2023 10:18:56 PM,3/1/2023 10:18:56 PM,Fitbit,Alta HR
3/1/2023 10:45:28 PM,3/1/2023 10:45:28 PM,Fitbit,Alta HR
3/1/2023 11:14:07 PM,3/1/2023 11:14:07 PM,Fitbit,Alta HR
3/1/2023 11:16:14 PM,3/1/2023 11:16:14 PM,Fitbit,Alta HR
3/5/2023 12:20:04 AM,3/5/2023 12:20:04 AM,Fitbit,Alta HR
3/5/2023 12:23:53 AM,3/5/2023 12:23:53 AM,Fitbit,Alta HR
3/5/2023 1:22:51 PM,3/5/2023 1:22:51 PM,Fitbit,Alta HR
3/5/2023 1:38:28 PM,3/5/2023 1:38:28 PM,Fitbit,Alta HR
3/5/2023 1:39:27 PM,3/5/2023 1:39:27 PM,Fitbit,Alta HR
3/5/2023 1:54:47 PM,3/5/2023 1:54:47 PM,Fitbit,Alta HR
3/5/2023 3:23:19 PM,3/5/2023 3:23:19 PM,Fitbit,Alta HR
3/5/2023 4:03:22 PM,3/5/2023 4:03:22 PM,Fitbit,Alta HR
3/5/2023 4:18:44 PM,3/5/2023 4:18:44 PM,Fitbit,Alta HR
3/5/2023 4:34:09 PM,3/5/2023 4:34:09 PM,Fitbit,Alta HR
3/5/2023 4:49:23 PM,3/5/2023 4:49:23 PM,Fitbit,Alta HR
3/5/2023 5:04:20 PM,3/5/2023 5:04:20 PM,Fitbit,Alta HR
3/5/2023 5:16:35 PM,3/5/2023 5:16:35 PM,Fitbit,Alta HR
3/5/2023 5:34:36 PM,3/5/2023 5:34:36 PM,Fitbit,Alta HR
3/5/2023 5:49:57 PM,3/5/2023 5:49:57 PM,Fitbit,Alta HR
3/5/2023 6:05:12 PM,3/5/2023 6:05:12 PM,Fitbit,Alta HR
3/5/2023 6:17:46 PM,3/5/2023 6:17:46 PM,Fitbit,Alta HR
3/5/2023 6:22:29 PM,3/5/2023 6:22:29 PM,Fitbit,Alta HR
3/5/2023 6:36:07 PM,3/5/2023 6:36:07 PM,Fitbit,Alta HR
3/5/2023 6:52:15 PM,3/5/2023 6:52:15 PM,Fitbit,Alta HR
3/5/2023 6:54:08 PM,3/5/2023 6:54:08 PM,Fitbit,Alta HR
3/5/2023 7:09:25 PM,3/5/2023 7:09:25 PM,Fitbit,Alta HR
3/5/2023 7:46:52 PM,3/5/2023 7:46:52 PM,Fitbit,Alta HR
3/5/2023 8:02:13 PM,3/5/2023 8:02:13 PM,Fitbit,Alta HR
3/5/2023 8:17:28 PM,3/5/2023 8:17:28 PM,Fitbit,Alta HR
3/5/2023 11:58:52 PM,3/5/2023 11:58:52 PM,Fitbit,Alta HR
3/5/2023 11:59:54 PM,3/5/2023 11:59:54 PM,Fitbit,Alta HR
3/6/2023 12:52:16 AM,3/6/2023 12:52:16 AM,Fitbit,Alta HR
3/6/2023 1:00:18 AM,3/6/2023 1:00:18 AM,Fitbit,Alta HR
