ActivityDay,Calories
2/24/2022,1534
2/25/2022,2098
2/26/2022,3171
2/27/2022,2246
2/28/2022,3127
3/1/2022,2897
3/2/2022,3394
3/3/2022,2430
3/4/2022,3163
3/5/2022,2939
3/6/2022,2259
3/7/2022,3721
3/8/2022,2688
3/9/2022,3428
3/10/2022,3085
3/11/2022,2328
3/12/2022,3080
3/13/2022,2375
3/14/2022,2612
3/15/2022,2923
3/16/2022,3498
3/17/2022,2797
3/18/2022,3174
3/19/2022,1784
3/20/2022,1832
3/21/2022,2972
3/22/2022,3089
3/23/2022,1929
3/24/2022,2718
3/25/2022,3000
3/26/2022,2187
3/27/2022,1974
3/28/2022,2866
3/29/2022,3066
3/30/2022,2798
3/31/2022,2615
4/1/2022,2472
4/2/2022,2890
4/3/2022,2030
4/4/2022,2460
4/5/2022,2871
4/6/2022,2386
4/7/2022,2969
4/8/2022,2503
4/9/2022,2588
4/10/2022,2322
4/11/2022,2140
4/12/2022,3344
4/13/2022,2555
4/14/2022,2714
4/15/2022,2229
4/16/2022,3135
4/17/2022,2150
4/18/2022,2506
4/19/2022,2839
4/20/2022,3062
4/21/2022,3660
4/22/2022,3393
4/23/2022,2858
4/24/2022,2079
4/25/2022,2980
4/26/2022,2857
4/27/2022,2984
4/28/2022,2818
4/29/2022,2397
4/30/2022,3012
5/1/2022,2345
5/2/2022,3028
5/3/2022,2756
5/4/2022,1966
5/5/2022,2416
5/6/2022,3027
5/7/2022,2773
5/8/2022,2113
5/9/2022,3244
5/10/2022,3081
5/11/2022,2855
5/12/2022,3210
5/13/2022,2337
5/14/2022,2798
5/15/2022,2595
5/16/2022,3671
5/17/2022,3593
5/18/2022,3439
5/19/2022,3362
5/20/2022,3543
5/21/2022,3351
5/22/2022,3040
5/23/2022,3652
5/24/2022,3489
5/25/2022,3180
5/26/2022,2978
5/27/2022,3616
5/28/2022,1780
5/29/2022,3263
5/30/2022,3384
5/31/2022,3256
6/1/2022,3470
6/2/2022,2959
6/3/2022,3510
6/4/2022,1575
6/5/2022,1534
6/6/2022,1534
6/7/2022,1534
6/8/2022,1534
6/9/2022,1534
6/10/2022,1931
6/11/2022,1872
6/12/2022,2152
6/13/2022,2567
6/14/2022,3045
6/15/2022,2774
6/16/2022,2092
6/17/2022,1987
6/18/2022,2822
6/19/2022,1887
6/20/2022,2696
6/21/2022,2004
6/22/2022,3030
6/23/2022,2479
6/24/2022,2829
6/25/2022,2722
6/26/2022,2385
6/27/2022,2438
6/28/2022,2641
6/29/2022,2227
6/30/2022,2829
7/1/2022,2622
7/2/2022,2848
7/3/2022,2156
7/4/2022,2406
7/5/2022,2413
7/6/2022,2756
7/7/2022,2563
7/8/2022,2033
7/9/2022,2879
7/10/2022,1535
7/11/2022,3599
7/12/2022,2505
7/13/2022,2841
7/14/2022,2710
7/15/2022,2539
7/16/2022,2628
7/17/2022,2456
7/18/2022,2401
7/19/2022,1606
7/20/2022,1534
