ActivityHour,Calories
1/19/2023 12:00:00 AM,62
1/19/2023 1:00:00 AM,62
1/19/2023 2:00:00 AM,62
1/19/2023 3:00:00 AM,62
1/19/2023 4:00:00 AM,62
1/19/2023 5:00:00 AM,62
1/19/2023 6:00:00 AM,62
1/19/2023 7:00:00 AM,62
1/19/2023 8:00:00 AM,62
1/19/2023 9:00:00 AM,62
1/19/2023 10:00:00 AM,62
1/19/2023 11:00:00 AM,184
1/19/2023 12:00:00 PM,241
1/19/2023 1:00:00 PM,214
1/19/2023 2:00:00 PM,248
1/19/2023 3:00:00 PM,115
1/19/2023 4:00:00 PM,126
1/19/2023 5:00:00 PM,250
1/19/2023 6:00:00 PM,236
1/19/2023 7:00:00 PM,141
1/19/2023 8:00:00 PM,141
1/19/2023 9:00:00 PM,101
1/19/2023 10:00:00 PM,112
1/19/2023 11:00:00 PM,130
1/20/2023 12:00:00 AM,121
1/20/2023 1:00:00 AM,129
1/20/2023 2:00:00 AM,62
1/20/2023 3:00:00 AM,67
1/20/2023 4:00:00 AM,62
1/20/2023 5:00:00 AM,89
1/20/2023 6:00:00 AM,64
1/20/2023 7:00:00 AM,74
1/20/2023 8:00:00 AM,94
1/20/2023 9:00:00 AM,165
1/20/2023 10:00:00 AM,137
1/20/2023 11:00:00 AM,119
1/20/2023 12:00:00 PM,93
1/20/2023 1:00:00 PM,148
1/20/2023 2:00:00 PM,215
1/20/2023 3:00:00 PM,228
1/20/2023 4:00:00 PM,193
1/20/2023 5:00:00 PM,202
1/20/2023 6:00:00 PM,195
1/20/2023 7:00:00 PM,243
1/20/2023 8:00:00 PM,211
1/20/2023 9:00:00 PM,226
1/20/2023 10:00:00 PM,204
1/20/2023 11:00:00 PM,100
1/21/2023 12:00:00 AM,195
1/21/2023 1:00:00 AM,67
1/21/2023 2:00:00 AM,62
1/21/2023 3:00:00 AM,67
1/21/2023 4:00:00 AM,62
1/21/2023 5:00:00 AM,64
1/21/2023 6:00:00 AM,62
1/21/2023 7:00:00 AM,130
1/21/2023 8:00:00 AM,188
1/21/2023 9:00:00 AM,89
1/21/2023 10:00:00 AM,225
1/21/2023 11:00:00 AM,81
1/21/2023 12:00:00 PM,115
1/21/2023 1:00:00 PM,102
1/21/2023 2:00:00 PM,169
1/21/2023 3:00:00 PM,102
1/21/2023 4:00:00 PM,86
1/21/2023 5:00:00 PM,73
1/21/2023 6:00:00 PM,160
1/21/2023 7:00:00 PM,225
1/21/2023 8:00:00 PM,155
1/21/2023 9:00:00 PM,144
1/21/2023 10:00:00 PM,183
1/21/2023 11:00:00 PM,121
1/22/2023 12:00:00 AM,261
1/22/2023 1:00:00 AM,285
1/22/2023 2:00:00 AM,144
1/22/2023 3:00:00 AM,66
1/22/2023 4:00:00 AM,62
1/22/2023 5:00:00 AM,62
1/22/2023 6:00:00 AM,69
1/22/2023 7:00:00 AM,62
1/22/2023 8:00:00 AM,64
1/22/2023 9:00:00 AM,114
1/22/2023 10:00:00 AM,157
1/22/2023 11:00:00 AM,234
1/22/2023 12:00:00 PM,321
1/22/2023 1:00:00 PM,187
1/22/2023 2:00:00 PM,131
1/22/2023 3:00:00 PM,74
1/22/2023 4:00:00 PM,165
1/22/2023 5:00:00 PM,80
1/22/2023 6:00:00 PM,160
1/22/2023 7:00:00 PM,236
1/22/2023 8:00:00 PM,293
1/22/2023 9:00:00 PM,190
1/22/2023 10:00:00 PM,165
1/22/2023 11:00:00 PM,160
1/23/2023 12:00:00 AM,205
1/23/2023 1:00:00 AM,75
1/23/2023 2:00:00 AM,72
1/23/2023 3:00:00 AM,72
1/23/2023 4:00:00 AM,63
1/23/2023 5:00:00 AM,64
1/23/2023 6:00:00 AM,63
1/23/2023 7:00:00 AM,79
1/23/2023 8:00:00 AM,62
1/23/2023 9:00:00 AM,214
1/23/2023 10:00:00 AM,161
1/23/2023 11:00:00 AM,100
1/23/2023 12:00:00 PM,290
1/23/2023 1:00:00 PM,150
1/23/2023 2:00:00 PM,168
1/23/2023 3:00:00 PM,109
1/23/2023 4:00:00 PM,202
1/23/2023 5:00:00 PM,218
1/23/2023 6:00:00 PM,201
1/23/2023 7:00:00 PM,280
1/23/2023 8:00:00 PM,159
1/23/2023 9:00:00 PM,202
1/23/2023 10:00:00 PM,185
1/23/2023 11:00:00 PM,197
1/24/2023 12:00:00 AM,187
1/24/2023 1:00:00 AM,63
1/24/2023 2:00:00 AM,62
1/24/2023 3:00:00 AM,68
1/24/2023 4:00:00 AM,67
1/24/2023 5:00:00 AM,62
1/24/2023 6:00:00 AM,62
1/24/2023 7:00:00 AM,144
1/24/2023 8:00:00 AM,156
1/24/2023 9:00:00 AM,83
1/24/2023 10:00:00 AM,73
1/24/2023 11:00:00 AM,119
1/24/2023 12:00:00 PM,239
1/24/2023 1:00:00 PM,121
1/24/2023 2:00:00 PM,161
1/24/2023 3:00:00 PM,133
1/24/2023 4:00:00 PM,80
1/24/2023 5:00:00 PM,75
1/24/2023 6:00:00 PM,160
1/24/2023 7:00:00 PM,262
1/24/2023 8:00:00 PM,174
1/24/2023 9:00:00 PM,209
1/24/2023 10:00:00 PM,150
1/24/2023 11:00:00 PM,181
1/25/2023 12:00:00 AM,263
1/25/2023 1:00:00 AM,69
1/25/2023 2:00:00 AM,64
1/25/2023 3:00:00 AM,64
1/25/2023 4:00:00 AM,69
1/25/2023 5:00:00 AM,64
1/25/2023 6:00:00 AM,64
1/25/2023 7:00:00 AM,124
1/25/2023 8:00:00 AM,190
1/25/2023 9:00:00 AM,75
1/25/2023 10:00:00 AM,79
1/25/2023 11:00:00 AM,83
1/25/2023 12:00:00 PM,156
1/25/2023 1:00:00 PM,109
1/25/2023 2:00:00 PM,247
1/25/2023 3:00:00 PM,124
1/25/2023 4:00:00 PM,80
1/25/2023 5:00:00 PM,134
1/25/2023 6:00:00 PM,208
1/25/2023 7:00:00 PM,183
1/25/2023 8:00:00 PM,119
1/25/2023 9:00:00 PM,110
1/25/2023 10:00:00 PM,158
1/25/2023 11:00:00 PM,136
1/26/2023 12:00:00 AM,199
1/26/2023 1:00:00 AM,72
1/26/2023 2:00:00 AM,62
1/26/2023 3:00:00 AM,69
1/26/2023 4:00:00 AM,62
1/26/2023 5:00:00 AM,62
1/26/2023 6:00:00 AM,65
1/26/2023 7:00:00 AM,179
1/26/2023 8:00:00 AM,270
1/26/2023 9:00:00 AM,98
1/26/2023 10:00:00 AM,166
1/26/2023 11:00:00 AM,139
1/26/2023 12:00:00 PM,161
1/26/2023 1:00:00 PM,227
1/26/2023 2:00:00 PM,166
1/26/2023 3:00:00 PM,99
1/26/2023 4:00:00 PM,156
1/26/2023 5:00:00 PM,154
1/26/2023 6:00:00 PM,211
1/26/2023 7:00:00 PM,303
1/26/2023 8:00:00 PM,263
1/26/2023 9:00:00 PM,160
1/26/2023 10:00:00 PM,123
1/26/2023 11:00:00 PM,188
1/27/2023 12:00:00 AM,260
1/27/2023 1:00:00 AM,208
1/27/2023 2:00:00 AM,81
1/27/2023 3:00:00 AM,64
1/27/2023 4:00:00 AM,108
1/27/2023 5:00:00 AM,69
1/27/2023 6:00:00 AM,69
1/27/2023 7:00:00 AM,67
1/27/2023 8:00:00 AM,130
1/27/2023 9:00:00 AM,75
1/27/2023 10:00:00 AM,134
1/27/2023 11:00:00 AM,95
1/27/2023 12:00:00 PM,355
1/27/2023 1:00:00 PM,126
1/27/2023 2:00:00 PM,201
1/27/2023 3:00:00 PM,80
1/27/2023 4:00:00 PM,202
1/27/2023 5:00:00 PM,224
1/27/2023 6:00:00 PM,208
1/27/2023 7:00:00 PM,204
1/27/2023 8:00:00 PM,82
1/27/2023 9:00:00 PM,84
1/27/2023 10:00:00 PM,122
1/27/2023 11:00:00 PM,74
1/28/2023 12:00:00 AM,161
1/28/2023 1:00:00 AM,144
1/28/2023 2:00:00 AM,65
1/28/2023 3:00:00 AM,65
1/28/2023 4:00:00 AM,62
1/28/2023 5:00:00 AM,62
1/28/2023 6:00:00 AM,62
1/28/2023 7:00:00 AM,101
1/28/2023 8:00:00 AM,63
1/28/2023 9:00:00 AM,88
1/28/2023 10:00:00 AM,136
1/28/2023 11:00:00 AM,91
1/28/2023 12:00:00 PM,243
1/28/2023 1:00:00 PM,188
1/28/2023 2:00:00 PM,164
1/28/2023 3:00:00 PM,152
1/28/2023 4:00:00 PM,81
1/28/2023 5:00:00 PM,74
1/28/2023 6:00:00 PM,214
1/28/2023 7:00:00 PM,236
1/28/2023 8:00:00 PM,178
1/28/2023 9:00:00 PM,170
1/28/2023 10:00:00 PM,207
1/28/2023 11:00:00 PM,154
1/29/2023 12:00:00 AM,213
1/29/2023 1:00:00 AM,137
1/29/2023 2:00:00 AM,65
1/29/2023 3:00:00 AM,62
1/29/2023 4:00:00 AM,62
1/29/2023 5:00:00 AM,76
1/29/2023 6:00:00 AM,64
1/29/2023 7:00:00 AM,62
1/29/2023 8:00:00 AM,66
1/29/2023 9:00:00 AM,165
1/29/2023 10:00:00 AM,96
1/29/2023 11:00:00 AM,78
1/29/2023 12:00:00 PM,147
1/29/2023 1:00:00 PM,98
1/29/2023 2:00:00 PM,165
1/29/2023 3:00:00 PM,100
1/29/2023 4:00:00 PM,83
1/29/2023 5:00:00 PM,102
1/29/2023 6:00:00 PM,72
1/29/2023 7:00:00 PM,241
1/29/2023 8:00:00 PM,107
1/29/2023 9:00:00 PM,141
1/29/2023 10:00:00 PM,124
1/29/2023 11:00:00 PM,109
1/30/2023 12:00:00 AM,206
1/30/2023 1:00:00 AM,65
1/30/2023 2:00:00 AM,63
1/30/2023 3:00:00 AM,62
1/30/2023 4:00:00 AM,65
1/30/2023 5:00:00 AM,68
1/30/2023 6:00:00 AM,65
1/30/2023 7:00:00 AM,62
1/30/2023 8:00:00 AM,74
1/30/2023 9:00:00 AM,75
1/30/2023 10:00:00 AM,155
1/30/2023 11:00:00 AM,86
1/30/2023 12:00:00 PM,240
1/30/2023 1:00:00 PM,201
1/30/2023 2:00:00 PM,82
1/30/2023 3:00:00 PM,83
1/30/2023 4:00:00 PM,165
1/30/2023 5:00:00 PM,313
1/30/2023 6:00:00 PM,229
1/30/2023 7:00:00 PM,263
1/30/2023 8:00:00 PM,112
1/30/2023 9:00:00 PM,95
1/30/2023 10:00:00 PM,101
1/30/2023 11:00:00 PM,144
1/31/2023 12:00:00 AM,240
1/31/2023 1:00:00 AM,151
1/31/2023 2:00:00 AM,63
1/31/2023 3:00:00 AM,62
1/31/2023 4:00:00 AM,62
1/31/2023 5:00:00 AM,62
1/31/2023 6:00:00 AM,92
1/31/2023 7:00:00 AM,62
1/31/2023 8:00:00 AM,130
1/31/2023 9:00:00 AM,104
1/31/2023 10:00:00 AM,95
1/31/2023 11:00:00 AM,101
1/31/2023 12:00:00 PM,160
1/31/2023 1:00:00 PM,165
1/31/2023 2:00:00 PM,183
1/31/2023 3:00:00 PM,151
1/31/2023 4:00:00 PM,91
1/31/2023 5:00:00 PM,100
1/31/2023 6:00:00 PM,155
1/31/2023 7:00:00 PM,227
1/31/2023 8:00:00 PM,99
1/31/2023 9:00:00 PM,212
1/31/2023 10:00:00 PM,166
1/31/2023 11:00:00 PM,197
2/1/2023 12:00:00 AM,133
2/1/2023 1:00:00 AM,64
2/1/2023 2:00:00 AM,76
2/1/2023 3:00:00 AM,62
2/1/2023 4:00:00 AM,66
2/1/2023 5:00:00 AM,62
2/1/2023 6:00:00 AM,62
2/1/2023 7:00:00 AM,74
2/1/2023 8:00:00 AM,137
2/1/2023 9:00:00 AM,75
2/1/2023 10:00:00 AM,65
2/1/2023 11:00:00 AM,68
2/1/2023 12:00:00 PM,77
2/1/2023 1:00:00 PM,84
2/1/2023 2:00:00 PM,167
2/1/2023 3:00:00 PM,133
2/1/2023 4:00:00 PM,83
2/1/2023 5:00:00 PM,94
2/1/2023 6:00:00 PM,238
2/1/2023 7:00:00 PM,162
2/1/2023 8:00:00 PM,183
2/1/2023 9:00:00 PM,112
2/1/2023 10:00:00 PM,150
2/1/2023 11:00:00 PM,159
2/2/2023 12:00:00 AM,165
2/2/2023 1:00:00 AM,68
2/2/2023 2:00:00 AM,62
2/2/2023 3:00:00 AM,67
2/2/2023 4:00:00 AM,62
2/2/2023 5:00:00 AM,62
2/2/2023 6:00:00 AM,62
2/2/2023 7:00:00 AM,166
2/2/2023 8:00:00 AM,75
2/2/2023 9:00:00 AM,93
2/2/2023 10:00:00 AM,193
2/2/2023 11:00:00 AM,75
2/2/2023 12:00:00 PM,170
2/2/2023 1:00:00 PM,119
2/2/2023 2:00:00 PM,133
2/2/2023 3:00:00 PM,102
2/2/2023 4:00:00 PM,73
2/2/2023 5:00:00 PM,87
2/2/2023 6:00:00 PM,96
2/2/2023 7:00:00 PM,228
2/2/2023 8:00:00 PM,184
2/2/2023 9:00:00 PM,162
2/2/2023 10:00:00 PM,207
2/2/2023 11:00:00 PM,251
2/3/2023 12:00:00 AM,96
2/3/2023 1:00:00 AM,71
2/3/2023 2:00:00 AM,64
2/3/2023 3:00:00 AM,63
2/3/2023 4:00:00 AM,70
2/3/2023 5:00:00 AM,63
2/3/2023 6:00:00 AM,62
2/3/2023 7:00:00 AM,97
2/3/2023 8:00:00 AM,63
2/3/2023 9:00:00 AM,76
2/3/2023 10:00:00 AM,68
2/3/2023 11:00:00 AM,62
2/3/2023 12:00:00 PM,62
2/3/2023 1:00:00 PM,63
2/3/2023 2:00:00 PM,66
2/3/2023 3:00:00 PM,143
2/3/2023 4:00:00 PM,78
2/3/2023 5:00:00 PM,76
2/3/2023 6:00:00 PM,181
2/3/2023 7:00:00 PM,242
2/3/2023 8:00:00 PM,219
2/3/2023 9:00:00 PM,174
2/3/2023 10:00:00 PM,236
2/3/2023 11:00:00 PM,232
2/4/2023 12:00:00 AM,178
2/4/2023 1:00:00 AM,76
2/4/2023 2:00:00 AM,71
2/4/2023 3:00:00 AM,89
2/4/2023 4:00:00 AM,91
2/4/2023 5:00:00 AM,89
2/4/2023 6:00:00 AM,93
2/4/2023 7:00:00 AM,62
2/4/2023 8:00:00 AM,63
2/4/2023 9:00:00 AM,119
2/4/2023 10:00:00 AM,163
2/4/2023 11:00:00 AM,79
2/4/2023 12:00:00 PM,77
2/4/2023 1:00:00 PM,121
2/4/2023 2:00:00 PM,154
2/4/2023 3:00:00 PM,85
2/4/2023 4:00:00 PM,83
2/4/2023 5:00:00 PM,120
2/4/2023 6:00:00 PM,118
2/4/2023 7:00:00 PM,204
2/4/2023 8:00:00 PM,159
2/4/2023 9:00:00 PM,114
2/4/2023 10:00:00 PM,195
2/4/2023 11:00:00 PM,183
2/5/2023 12:00:00 AM,122
2/5/2023 1:00:00 AM,64
2/5/2023 2:00:00 AM,62
2/5/2023 3:00:00 AM,62
2/5/2023 4:00:00 AM,62
2/5/2023 5:00:00 AM,79
2/5/2023 6:00:00 AM,62
2/5/2023 7:00:00 AM,64
2/5/2023 8:00:00 AM,62
2/5/2023 9:00:00 AM,68
2/5/2023 10:00:00 AM,64
2/5/2023 11:00:00 AM,129
2/5/2023 12:00:00 PM,218
2/5/2023 1:00:00 PM,124
2/5/2023 2:00:00 PM,80
2/5/2023 3:00:00 PM,110
2/5/2023 4:00:00 PM,62
2/5/2023 5:00:00 PM,134
2/5/2023 6:00:00 PM,275
2/5/2023 7:00:00 PM,297
2/5/2023 8:00:00 PM,153
2/5/2023 9:00:00 PM,241
2/5/2023 10:00:00 PM,114
2/5/2023 11:00:00 PM,172
2/6/2023 12:00:00 AM,247
2/6/2023 1:00:00 AM,78
2/6/2023 2:00:00 AM,65
2/6/2023 3:00:00 AM,63
2/6/2023 4:00:00 AM,62
2/6/2023 5:00:00 AM,62
2/6/2023 6:00:00 AM,68
2/6/2023 7:00:00 AM,62
2/6/2023 8:00:00 AM,62
2/6/2023 9:00:00 AM,92
2/6/2023 10:00:00 AM,165
2/6/2023 11:00:00 AM,96
2/6/2023 12:00:00 PM,253
2/6/2023 1:00:00 PM,145
2/6/2023 2:00:00 PM,128
2/6/2023 3:00:00 PM,220
2/6/2023 4:00:00 PM,154
2/6/2023 5:00:00 PM,221
2/6/2023 6:00:00 PM,164
2/6/2023 7:00:00 PM,212
2/6/2023 8:00:00 PM,217
2/6/2023 9:00:00 PM,225
2/6/2023 10:00:00 PM,258
2/6/2023 11:00:00 PM,244
2/7/2023 12:00:00 AM,120
2/7/2023 1:00:00 AM,126
2/7/2023 2:00:00 AM,71
2/7/2023 3:00:00 AM,62
2/7/2023 4:00:00 AM,62
2/7/2023 5:00:00 AM,66
2/7/2023 6:00:00 AM,75
2/7/2023 7:00:00 AM,62
2/7/2023 8:00:00 AM,116
2/7/2023 9:00:00 AM,81
2/7/2023 10:00:00 AM,97
2/7/2023 11:00:00 AM,70
2/7/2023 12:00:00 PM,267
