DateTime,SyncDateUTC,Provider,DeviceName
7/5/2023 10:52:17 PM,7/5/2023 10:52:17 PM,Fitbit,Inspire 2
7/5/2023 10:52:36 PM,7/5/2023 10:52:36 PM,Fitbit,Inspire 2
7/5/2023 10:59:41 PM,7/5/2023 10:59:41 PM,Fitbit,Inspire 2
7/5/2023 10:59:59 PM,7/5/2023 10:59:59 PM,Fitbit,Inspire 2
7/5/2023 11:00:17 PM,7/5/2023 11:00:17 PM,Fitbit,Inspire 2
7/6/2023 5:21:45 PM,7/6/2023 5:21:45 PM,Fitbit,Inspire 2
7/6/2023 6:55:58 PM,7/6/2023 6:55:58 PM,Fitbit,Inspire 2
7/6/2023 7:11:56 PM,7/6/2023 7:11:56 PM,Fitbit,Inspire 2
7/6/2023 7:27:56 PM,7/6/2023 7:27:56 PM,Fitbit,Inspire 2
7/6/2023 7:45:53 PM,7/6/2023 7:45:53 PM,Fitbit,Inspire 2
7/6/2023 8:01:52 PM,7/6/2023 8:01:52 PM,Fitbit,Inspire 2
7/6/2023 8:29:39 PM,7/6/2023 8:29:39 PM,Fitbit,Inspire 2
7/6/2023 8:45:38 PM,7/6/2023 8:45:38 PM,Fitbit,Inspire 2
7/6/2023 9:05:12 PM,7/6/2023 9:05:12 PM,Fitbit,Inspire 2
7/6/2023 9:20:39 PM,7/6/2023 9:20:39 PM,Fitbit,Inspire 2
7/6/2023 9:36:39 PM,7/6/2023 9:36:39 PM,Fitbit,Inspire 2
7/6/2023 9:58:37 PM,7/6/2023 9:58:37 PM,Fitbit,Inspire 2
7/6/2023 10:20:45 PM,7/6/2023 10:20:45 PM,Fitbit,Inspire 2
7/6/2023 10:36:47 PM,7/6/2023 10:36:47 PM,Fitbit,Inspire 2
7/6/2023 10:52:45 PM,7/6/2023 10:52:45 PM,Fitbit,Inspire 2
7/6/2023 11:08:45 PM,7/6/2023 11:08:45 PM,Fitbit,Inspire 2
7/6/2023 11:24:46 PM,7/6/2023 11:24:46 PM,Fitbit,Inspire 2
7/6/2023 11:40:46 PM,7/6/2023 11:40:46 PM,Fitbit,Inspire 2
7/6/2023 11:56:45 PM,7/6/2023 11:56:45 PM,Fitbit,Inspire 2
7/7/2023 12:12:46 AM,7/7/2023 12:12:46 AM,Fitbit,Inspire 2
7/7/2023 12:29:46 AM,7/7/2023 12:29:46 AM,Fitbit,Inspire 2
7/7/2023 12:45:46 AM,7/7/2023 12:45:46 AM,Fitbit,Inspire 2
7/7/2023 1:01:46 AM,7/7/2023 1:01:46 AM,Fitbit,Inspire 2
7/7/2023 1:17:46 AM,7/7/2023 1:17:46 AM,Fitbit,Inspire 2
7/7/2023 1:33:46 AM,7/7/2023 1:33:46 AM,Fitbit,Inspire 2
7/7/2023 1:49:46 AM,7/7/2023 1:49:46 AM,Fitbit,Inspire 2
7/7/2023 2:05:47 AM,7/7/2023 2:05:47 AM,Fitbit,Inspire 2
7/7/2023 2:42:47 AM,7/7/2023 2:42:47 AM,Fitbit,Inspire 2
7/7/2023 2:58:46 AM,7/7/2023 2:58:46 AM,Fitbit,Inspire 2
7/7/2023 3:14:46 AM,7/7/2023 3:14:46 AM,Fitbit,Inspire 2
7/7/2023 3:31:47 AM,7/7/2023 3:31:47 AM,Fitbit,Inspire 2
7/7/2023 3:47:47 AM,7/7/2023 3:47:47 AM,Fitbit,Inspire 2
7/7/2023 4:03:47 AM,7/7/2023 4:03:47 AM,Fitbit,Inspire 2
7/7/2023 4:19:47 AM,7/7/2023 4:19:47 AM,Fitbit,Inspire 2
7/7/2023 4:35:47 AM,7/7/2023 4:35:47 AM,Fitbit,Inspire 2
7/7/2023 4:51:47 AM,7/7/2023 4:51:47 AM,Fitbit,Inspire 2
7/7/2023 5:07:47 AM,7/7/2023 5:07:47 AM,Fitbit,Inspire 2
7/7/2023 5:23:48 AM,7/7/2023 5:23:48 AM,Fitbit,Inspire 2
7/7/2023 5:39:49 AM,7/7/2023 5:39:49 AM,Fitbit,Inspire 2
7/7/2023 5:55:48 AM,7/7/2023 5:55:48 AM,Fitbit,Inspire 2
