ActivityDay,Calories
11/26/2021,2744
11/27/2021,2545
11/28/2021,2581
11/29/2021,2295
11/30/2021,2533
12/1/2021,1572
12/2/2021,1756
12/3/2021,2429
12/4/2021,3093
12/5/2021,2275
12/6/2021,2346
12/7/2021,2418
12/8/2021,1485
12/9/2021,1485
12/10/2021,1485
12/11/2021,1485
12/12/2021,1485
12/13/2021,1485
12/14/2021,1485
12/15/2021,1485
12/16/2021,1485
12/17/2021,1485
12/18/2021,1485
12/19/2021,1485
12/20/2021,2179
12/21/2021,1516
12/22/2021,2325
12/23/2021,1586
12/24/2021,2380
12/25/2021,1583
12/26/2021,2536
12/27/2021,2771
12/28/2021,2158
12/29/2021,2449
12/30/2021,1809
12/31/2021,2036
1/1/2022,2323
1/2/2022,2676
1/3/2022,2302
1/4/2022,1480
1/5/2022,2073
1/6/2022,2570
1/7/2022,2383
1/8/2022,2345
1/9/2022,2498
1/10/2022,1940
1/11/2022,2099
1/12/2022,1480
1/13/2022,2520
1/14/2022,1565
1/15/2022,1480
1/16/2022,1480
1/17/2022,1480
1/18/2022,1974
1/19/2022,1480
1/20/2022,2035
1/21/2022,2603
1/22/2022,1480
1/23/2022,2314
1/24/2022,1480
1/25/2022,1480
1/26/2022,2059
1/27/2022,1480
1/28/2022,2768
1/29/2022,3117
1/30/2022,2934
1/31/2022,2700
2/1/2022,2456
2/2/2022,1480
2/3/2022,2143
2/4/2022,2980
2/5/2022,2934
2/6/2022,2935
2/7/2022,1480
2/8/2022,1823
2/9/2022,1480
2/10/2022,1480
2/11/2022,1480
2/12/2022,1480
2/13/2022,1864
2/14/2022,1480
