ActivityDay,StepTotal
1/19/2023,6536
1/20/2023,11837
1/21/2023,7548
1/22/2023,10471
1/23/2023,9240
1/24/2023,7389
1/25/2023,6550
1/26/2023,11532
1/27/2023,14652
1/28/2023,9228
1/29/2023,5900
1/30/2023,8885
1/31/2023,9632
2/1/2023,5487
2/2/2023,6070
2/3/2023,5890
2/4/2023,7153
2/5/2023,7730
2/6/2023,14228
2/7/2023,8615
2/8/2023,10619
2/9/2023,17886
2/10/2023,9864
2/11/2023,5782
2/12/2023,6656
2/13/2023,2274
2/14/2023,6306
2/15/2023,1582
2/16/2023,1908
2/17/2023,3863
2/18/2023,12664
2/19/2023,6285
2/20/2023,9494
2/21/2023,7793
2/22/2023,5138
2/23/2023,8701
2/24/2023,12479
2/25/2023,10377
2/26/2023,5820
2/27/2023,11442
2/28/2023,11644
3/1/2023,5337
3/2/2023,10236
3/3/2023,9546
3/4/2023,5993
3/5/2023,9439
3/6/2023,10398
3/7/2023,12436
3/8/2023,5742
3/9/2023,8074
3/10/2023,9952
3/11/2023,7832
3/12/2023,7032
3/13/2023,6024
3/14/2023,6513
3/15/2023,7254
3/16/2023,6377
3/17/2023,15477
3/18/2023,18526
3/19/2023,13334
3/20/2023,17625
3/21/2023,23118
3/22/2023,19720
3/23/2023,17221
3/24/2023,11952
3/25/2023,9724
3/26/2023,12345
3/27/2023,12376
3/28/2023,7308
3/29/2023,8129
3/30/2023,15533
3/31/2023,11309
4/1/2023,19292
4/2/2023,11551
4/3/2023,8929
4/4/2023,10303
4/5/2023,13951
4/6/2023,12017
4/7/2023,5881
4/8/2023,5004
4/9/2023,6213
4/10/2023,12125
4/11/2023,8976
4/12/2023,9807
4/13/2023,6876
4/14/2023,8271
4/15/2023,8821
4/16/2023,1992
4/17/2023,6051
4/18/2023,7643
4/19/2023,7770
4/20/2023,9867
4/21/2023,23207
4/22/2023,14912
4/23/2023,7213
4/24/2023,6560
4/25/2023,6611
4/26/2023,6344
4/27/2023,8004
4/28/2023,9307
4/29/2023,7933
4/30/2023,14446
5/1/2023,8545
5/2/2023,11309
5/3/2023,9561
5/4/2023,14177
5/5/2023,9446
5/6/2023,10895
5/7/2023,8383
5/8/2023,14190
5/9/2023,6717
5/10/2023,10725
5/11/2023,16184
5/12/2023,9292
5/13/2023,9527
5/14/2023,12021
5/15/2023,11483
5/16/2023,5652
5/17/2023,23813
5/18/2023,0
5/19/2023,0
5/20/2023,0
5/21/2023,0
