ActivityHour,TotalIntensity,AverageIntensity
1/19/2023 12:00:00 AM,0,0
1/19/2023 1:00:00 AM,0,0
1/19/2023 2:00:00 AM,0,0
1/19/2023 3:00:00 AM,0,0
1/19/2023 4:00:00 AM,0,0
1/19/2023 5:00:00 AM,0,0
1/19/2023 6:00:00 AM,0,0
1/19/2023 7:00:00 AM,0,0
1/19/2023 8:00:00 AM,0,0
1/19/2023 9:00:00 AM,0,0
1/19/2023 10:00:00 AM,0,0
1/19/2023 11:00:00 AM,53,0.883333
1/19/2023 12:00:00 PM,79,1.316667
1/19/2023 1:00:00 PM,50,0.833333
1/19/2023 2:00:00 PM,77,1.283333
1/19/2023 3:00:00 PM,16,0.266667
1/19/2023 4:00:00 PM,22,0.366667
1/19/2023 5:00:00 PM,84,1.4
1/19/2023 6:00:00 PM,83,1.383333
1/19/2023 7:00:00 PM,29,0.483333
1/19/2023 8:00:00 PM,26,0.433333
1/19/2023 9:00:00 PM,12,0.2
1/19/2023 10:00:00 PM,14,0.233333
1/19/2023 11:00:00 PM,19,0.316667
1/20/2023 12:00:00 AM,21,0.35
1/20/2023 1:00:00 AM,33,0.55
1/20/2023 2:00:00 AM,0,0
1/20/2023 3:00:00 AM,2,0.033333
1/20/2023 4:00:00 AM,0,0
1/20/2023 5:00:00 AM,3,0.05
1/20/2023 6:00:00 AM,1,0.016667
1/20/2023 7:00:00 AM,7,0.116667
1/20/2023 8:00:00 AM,13,0.216667
1/20/2023 9:00:00 AM,32,0.533333
1/20/2023 10:00:00 AM,20,0.333333
1/20/2023 11:00:00 AM,19,0.316667
1/20/2023 12:00:00 PM,11,0.183333
1/20/2023 1:00:00 PM,36,0.6
1/20/2023 2:00:00 PM,74,1.233333
1/20/2023 3:00:00 PM,55,0.916667
1/20/2023 4:00:00 PM,50,0.833333
1/20/2023 5:00:00 PM,51,0.85
1/20/2023 6:00:00 PM,57,0.95
1/20/2023 7:00:00 PM,79,1.316667
1/20/2023 8:00:00 PM,58,0.966667
1/20/2023 9:00:00 PM,77,1.283333
1/20/2023 10:00:00 PM,55,0.916667
1/20/2023 11:00:00 PM,12,0.2
1/21/2023 12:00:00 AM,62,1.033333
1/21/2023 1:00:00 AM,2,0.033333
1/21/2023 2:00:00 AM,0,0
1/21/2023 3:00:00 AM,3,0.05
1/21/2023 4:00:00 AM,0,0
1/21/2023 5:00:00 AM,1,0.016667
1/21/2023 6:00:00 AM,0,0
1/21/2023 7:00:00 AM,23,0.383333
1/21/2023 8:00:00 AM,56,0.933333
1/21/2023 9:00:00 AM,5,0.083333
1/21/2023 10:00:00 AM,73,1.216667
1/21/2023 11:00:00 AM,3,0.05
1/21/2023 12:00:00 PM,16,0.266667
1/21/2023 1:00:00 PM,9,0.15
1/21/2023 2:00:00 PM,39,0.65
