ActivityHour,Calories
2/23/2023 12:00:00 AM,72
2/23/2023 1:00:00 AM,72
2/23/2023 2:00:00 AM,72
2/23/2023 3:00:00 AM,72
2/23/2023 4:00:00 AM,72
2/23/2023 5:00:00 AM,72
2/23/2023 6:00:00 AM,72
2/23/2023 7:00:00 AM,72
2/23/2023 8:00:00 AM,72
2/23/2023 9:00:00 AM,72
2/23/2023 10:00:00 AM,328
2/23/2023 11:00:00 AM,405
2/23/2023 12:00:00 PM,324
2/23/2023 1:00:00 PM,160
2/23/2023 2:00:00 PM,110
2/23/2023 3:00:00 PM,118
2/23/2023 4:00:00 PM,78
2/23/2023 5:00:00 PM,167
2/23/2023 6:00:00 PM,133
2/23/2023 7:00:00 PM,133
2/23/2023 8:00:00 PM,186
2/23/2023 9:00:00 PM,131
2/23/2023 10:00:00 PM,130
2/23/2023 11:00:00 PM,110
2/24/2023 12:00:00 AM,132
2/24/2023 1:00:00 AM,85
2/24/2023 2:00:00 AM,78
2/24/2023 3:00:00 AM,73
2/24/2023 4:00:00 AM,87
2/24/2023 5:00:00 AM,73
2/24/2023 6:00:00 AM,78
2/24/2023 7:00:00 AM,76
2/24/2023 8:00:00 AM,73
2/24/2023 9:00:00 AM,73
2/24/2023 10:00:00 AM,169
2/24/2023 11:00:00 AM,166
2/24/2023 12:00:00 PM,160
2/24/2023 1:00:00 PM,120
2/24/2023 2:00:00 PM,89
2/24/2023 3:00:00 PM,152
2/24/2023 4:00:00 PM,393
2/24/2023 5:00:00 PM,307
2/24/2023 6:00:00 PM,183
2/24/2023 7:00:00 PM,109
2/24/2023 8:00:00 PM,119
2/24/2023 9:00:00 PM,121
2/24/2023 10:00:00 PM,118
2/24/2023 11:00:00 PM,101
2/25/2023 12:00:00 AM,90
2/25/2023 1:00:00 AM,125
2/25/2023 2:00:00 AM,101
2/25/2023 3:00:00 AM,112
2/25/2023 4:00:00 AM,74
2/25/2023 5:00:00 AM,80
2/25/2023 6:00:00 AM,73
2/25/2023 7:00:00 AM,73
2/25/2023 8:00:00 AM,75
2/25/2023 9:00:00 AM,73
2/25/2023 10:00:00 AM,96
2/25/2023 11:00:00 AM,377
2/25/2023 12:00:00 PM,349
2/25/2023 1:00:00 PM,289
2/25/2023 2:00:00 PM,258
2/25/2023 3:00:00 PM,144
2/25/2023 4:00:00 PM,92
2/25/2023 5:00:00 PM,91
2/25/2023 6:00:00 PM,133
2/25/2023 7:00:00 PM,314
2/25/2023 8:00:00 PM,101
2/25/2023 9:00:00 PM,146
2/25/2023 10:00:00 PM,257
2/25/2023 11:00:00 PM,98
2/26/2023 12:00:00 AM,105
2/26/2023 1:00:00 AM,103
2/26/2023 2:00:00 AM,76
2/26/2023 3:00:00 AM,74
2/26/2023 4:00:00 AM,73
2/26/2023 5:00:00 AM,73
2/26/2023 6:00:00 AM,73
2/26/2023 7:00:00 AM,80
2/26/2023 8:00:00 AM,181
2/26/2023 9:00:00 AM,376
2/26/2023 10:00:00 AM,115
2/26/2023 11:00:00 AM,387
2/26/2023 12:00:00 PM,222
2/26/2023 1:00:00 PM,130
2/26/2023 2:00:00 PM,92
2/26/2023 3:00:00 PM,86
2/26/2023 4:00:00 PM,79
2/26/2023 5:00:00 PM,224
2/26/2023 6:00:00 PM,125
2/26/2023 7:00:00 PM,253
2/26/2023 8:00:00 PM,176
2/26/2023 9:00:00 PM,206
2/26/2023 10:00:00 PM,104
2/26/2023 11:00:00 PM,91
2/27/2023 12:00:00 AM,76
2/27/2023 1:00:00 AM,100
2/27/2023 2:00:00 AM,75
2/27/2023 3:00:00 AM,73
2/27/2023 4:00:00 AM,75
2/27/2023 5:00:00 AM,81
2/27/2023 6:00:00 AM,73
2/27/2023 7:00:00 AM,76
2/27/2023 8:00:00 AM,73
2/27/2023 9:00:00 AM,73
2/27/2023 10:00:00 AM,280
2/27/2023 11:00:00 AM,329
2/27/2023 12:00:00 PM,368
2/27/2023 1:00:00 PM,220
2/27/2023 2:00:00 PM,236
2/27/2023 3:00:00 PM,232
2/27/2023 4:00:00 PM,303
2/27/2023 5:00:00 PM,119
2/27/2023 6:00:00 PM,89
2/27/2023 7:00:00 PM,283
2/27/2023 8:00:00 PM,147
2/27/2023 9:00:00 PM,178
2/27/2023 10:00:00 PM,251
2/27/2023 11:00:00 PM,186
2/28/2023 12:00:00 AM,75
2/28/2023 1:00:00 AM,73
2/28/2023 2:00:00 AM,82
2/28/2023 3:00:00 AM,77
2/28/2023 4:00:00 AM,73
2/28/2023 5:00:00 AM,110
2/28/2023 6:00:00 AM,262
2/28/2023 7:00:00 AM,212
2/28/2023 8:00:00 AM,248
2/28/2023 9:00:00 AM,103
2/28/2023 10:00:00 AM,126
2/28/2023 11:00:00 AM,107
2/28/2023 12:00:00 PM,129
2/28/2023 1:00:00 PM,268
2/28/2023 2:00:00 PM,211
2/28/2023 3:00:00 PM,186
2/28/2023 4:00:00 PM,221
2/28/2023 5:00:00 PM,97
2/28/2023 6:00:00 PM,85
2/28/2023 7:00:00 PM,150
2/28/2023 8:00:00 PM,290
2/28/2023 9:00:00 PM,250
2/28/2023 10:00:00 PM,72
2/28/2023 11:00:00 PM,89
3/1/2023 12:00:00 AM,94
3/1/2023 1:00:00 AM,87
3/1/2023 2:00:00 AM,83
3/1/2023 3:00:00 AM,76
3/1/2023 4:00:00 AM,75
3/1/2023 5:00:00 AM,91
3/1/2023 6:00:00 AM,238
3/1/2023 7:00:00 AM,164
3/1/2023 8:00:00 AM,202
3/1/2023 9:00:00 AM,114
3/1/2023 10:00:00 AM,185
3/1/2023 11:00:00 AM,159
3/1/2023 12:00:00 PM,106
3/1/2023 1:00:00 PM,162
3/1/2023 2:00:00 PM,320
3/1/2023 3:00:00 PM,248
3/1/2023 4:00:00 PM,235
3/1/2023 5:00:00 PM,357
3/1/2023 6:00:00 PM,303
3/1/2023 7:00:00 PM,360
3/1/2023 8:00:00 PM,256
3/1/2023 9:00:00 PM,136
3/1/2023 10:00:00 PM,72
3/1/2023 11:00:00 PM,72
3/2/2023 12:00:00 AM,72
3/2/2023 1:00:00 AM,72
3/2/2023 2:00:00 AM,72
3/2/2023 3:00:00 AM,72
3/2/2023 4:00:00 AM,72
3/2/2023 5:00:00 AM,72
3/2/2023 6:00:00 AM,273
3/2/2023 7:00:00 AM,337
3/2/2023 8:00:00 AM,268
3/2/2023 9:00:00 AM,157
3/2/2023 10:00:00 AM,104
3/2/2023 11:00:00 AM,140
3/2/2023 12:00:00 PM,81
3/2/2023 1:00:00 PM,155
3/2/2023 2:00:00 PM,223
3/2/2023 3:00:00 PM,171
3/2/2023 4:00:00 PM,140
3/2/2023 5:00:00 PM,203
3/2/2023 6:00:00 PM,422
3/2/2023 7:00:00 PM,158
3/2/2023 8:00:00 PM,199
3/2/2023 9:00:00 PM,82
3/2/2023 10:00:00 PM,98
3/2/2023 11:00:00 PM,126
3/3/2023 12:00:00 AM,158
3/3/2023 1:00:00 AM,73
3/3/2023 2:00:00 AM,286
3/3/2023 3:00:00 AM,119
3/3/2023 4:00:00 AM,123
3/3/2023 5:00:00 AM,167
3/3/2023 6:00:00 AM,295
3/3/2023 7:00:00 AM,278
3/3/2023 8:00:00 AM,366
3/3/2023 9:00:00 AM,131
3/3/2023 10:00:00 AM,156
3/3/2023 11:00:00 AM,122
3/3/2023 12:00:00 PM,372
3/3/2023 1:00:00 PM,97
3/3/2023 2:00:00 PM,416
3/3/2023 3:00:00 PM,223
3/3/2023 4:00:00 PM,249
3/3/2023 5:00:00 PM,335
3/3/2023 6:00:00 PM,279
3/3/2023 7:00:00 PM,201
3/3/2023 8:00:00 PM,87
3/3/2023 9:00:00 PM,80
3/3/2023 10:00:00 PM,99
3/3/2023 11:00:00 PM,79
3/4/2023 12:00:00 AM,74
3/4/2023 1:00:00 AM,85
3/4/2023 2:00:00 AM,73
3/4/2023 3:00:00 AM,77
3/4/2023 4:00:00 AM,73
3/4/2023 5:00:00 AM,124
3/4/2023 6:00:00 AM,304
3/4/2023 7:00:00 AM,432
3/4/2023 8:00:00 AM,293
3/4/2023 9:00:00 AM,108
3/4/2023 10:00:00 AM,164
3/4/2023 11:00:00 AM,138
3/4/2023 12:00:00 PM,201
3/4/2023 1:00:00 PM,218
3/4/2023 2:00:00 PM,120
3/4/2023 3:00:00 PM,130
3/4/2023 4:00:00 PM,85
3/4/2023 5:00:00 PM,74
3/4/2023 6:00:00 PM,85
3/4/2023 7:00:00 PM,235
