ActivityHour,StepTotal
2/23/2023 12:00:00 AM,0
2/23/2023 1:00:00 AM,0
2/23/2023 2:00:00 AM,0
2/23/2023 3:00:00 AM,0
2/23/2023 4:00:00 AM,0
2/23/2023 5:00:00 AM,0
2/23/2023 6:00:00 AM,0
2/23/2023 7:00:00 AM,0
2/23/2023 8:00:00 AM,0
2/23/2023 9:00:00 AM,0
2/23/2023 10:00:00 AM,2615
2/23/2023 11:00:00 AM,4081
2/23/2023 12:00:00 PM,3270
2/23/2023 1:00:00 PM,33
2/23/2023 2:00:00 PM,31
2/23/2023 3:00:00 PM,0
2/23/2023 4:00:00 PM,0
2/23/2023 5:00:00 PM,61
2/23/2023 6:00:00 PM,196
2/23/2023 7:00:00 PM,274
2/23/2023 8:00:00 PM,562
2/23/2023 9:00:00 PM,0
2/23/2023 10:00:00 PM,138
2/23/2023 11:00:00 PM,94
2/24/2023 12:00:00 AM,160
2/24/2023 1:00:00 AM,9
2/24/2023 2:00:00 AM,0
2/24/2023 3:00:00 AM,0
2/24/2023 4:00:00 AM,89
2/24/2023 5:00:00 AM,0
2/24/2023 6:00:00 AM,0
2/24/2023 7:00:00 AM,0
2/24/2023 8:00:00 AM,0
2/24/2023 9:00:00 AM,0
2/24/2023 10:00:00 AM,202
2/24/2023 11:00:00 AM,236
2/24/2023 12:00:00 PM,246
2/24/2023 1:00:00 PM,40
2/24/2023 2:00:00 PM,5
2/24/2023 3:00:00 PM,164
2/24/2023 4:00:00 PM,2622
2/24/2023 5:00:00 PM,2149
2/24/2023 6:00:00 PM,217
2/24/2023 7:00:00 PM,205
2/24/2023 8:00:00 PM,208
2/24/2023 9:00:00 PM,306
2/24/2023 10:00:00 PM,252
2/24/2023 11:00:00 PM,238
2/25/2023 12:00:00 AM,51
2/25/2023 1:00:00 AM,496
2/25/2023 2:00:00 AM,47
2/25/2023 3:00:00 AM,61
2/25/2023 4:00:00 AM,0
2/25/2023 5:00:00 AM,54
2/25/2023 6:00:00 AM,0
2/25/2023 7:00:00 AM,0
2/25/2023 8:00:00 AM,14
2/25/2023 9:00:00 AM,0
2/25/2023 10:00:00 AM,54
2/25/2023 11:00:00 AM,1223
2/25/2023 12:00:00 PM,1918
2/25/2023 1:00:00 PM,674
2/25/2023 2:00:00 PM,734
2/25/2023 3:00:00 PM,171
2/25/2023 4:00:00 PM,48
2/25/2023 5:00:00 PM,52
2/25/2023 6:00:00 PM,455
2/25/2023 7:00:00 PM,871
2/25/2023 8:00:00 PM,29
2/25/2023 9:00:00 PM,284
2/25/2023 10:00:00 PM,687
2/25/2023 11:00:00 PM,106
2/26/2023 12:00:00 AM,115
2/26/2023 1:00:00 AM,204
2/26/2023 2:00:00 AM,6
2/26/2023 3:00:00 AM,0
2/26/2023 4:00:00 AM,0
2/26/2023 5:00:00 AM,0
2/26/2023 6:00:00 AM,0
2/26/2023 7:00:00 AM,51
2/26/2023 8:00:00 AM,345
2/26/2023 9:00:00 AM,1269
2/26/2023 10:00:00 AM,40
2/26/2023 11:00:00 AM,3635
2/26/2023 12:00:00 PM,455
2/26/2023 1:00:00 PM,261
2/26/2023 2:00:00 PM,32
2/26/2023 3:00:00 PM,0
2/26/2023 4:00:00 PM,0
2/26/2023 5:00:00 PM,499
2/26/2023 6:00:00 PM,390
2/26/2023 7:00:00 PM,978
